Offspring.ID,Mother.ID,Candidate.father.ID,matchem,patchem,cross,mat_Lon,mat_Lat,mat_corolla.mean,mat_floral.flare,mat_filiment.length,mat_style.length,mat_tube.length,mat_nectar.length,mat_sucrose.equiv.,pat_Lon,pat_Lat,pat_corolla.mean,pat_floral.flare,pat_filiment.length,pat_style.length,pat_tube.length,pat_nectar.length,pat_sucrose.equiv.,dist,corolla_dif,filiment_dif,flare_dif,style_dif,tube_dif,nectar_dif,sucrose_dif,distCategory
69_03,4069,4071,1,1,1X1,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,1.684948997,5.705,1.77,-0.31,-5.88,-1.57,31.98,-17,1
69_04,4069,4073,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,4.689352081,-2.385,1.24,-0.36,9.42,-34.55,33.61,-13,1
69_06,4069,4084,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,75.93640634,12.7,2.53,-0.03,9.73,5,58.27,-3,1
69_08,4069,4104,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.546588,37.311087,96.28,6.86,17.68,98.04,80.15,30.59,32,28452.23426,-6.28,-0.93,-0.56,-21.17,-24.72,64.03,-15,3
69_10,4069,4073,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,4.689352081,-2.385,1.24,-0.36,9.42,-34.55,33.61,-13,1
69_12,4069,4072,1,1,1X1,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.705983,37.533718,94.78,6.83,15.76,65.93,68.42,41.71,32,1.712018095,-4.78,0.99,-0.53,10.94,-12.99,52.91,-15,1
69_13,4069,4072,1,1,1X1,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.705983,37.533718,94.78,6.83,15.76,65.93,68.42,41.71,32,1.712018095,-4.78,0.99,-0.53,10.94,-12.99,52.91,-15,1
69_15,4069,4104,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.546588,37.311087,96.28,6.86,17.68,98.04,80.15,30.59,32,28452.23426,-6.28,-0.93,-0.56,-21.17,-24.72,64.03,-15,3
69_16,4069,4072,1,1,1X1,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.705983,37.533718,94.78,6.83,15.76,65.93,68.42,41.71,32,1.712018095,-4.78,0.99,-0.53,10.94,-12.99,52.91,-15,1
69_17,4069,4073,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,4.689352081,-2.385,1.24,-0.36,9.42,-34.55,33.61,-13,1
69_18,4069,4071,1,1,1X1,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,1.684948997,5.705,1.77,-0.31,-5.88,-1.57,31.98,-17,1
69_19,4069,4073,1,0,1X0,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,4.689352081,-2.385,1.24,-0.36,9.42,-34.55,33.61,-13,1
69_20,4069,4072,1,1,1X1,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,-104.705983,37.533718,94.78,6.83,15.76,65.93,68.42,41.71,32,1.712018095,-4.78,0.99,-0.53,10.94,-12.99,52.91,-15,1
71_02,4071,4084,1,0,1X0,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,74.76627787,6.995,0.76,0.28,15.61,6.57,26.29,14,1
71_04,4071,4069,1,1,1X1,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,1.684948997,-5.705,-1.77,0.31,5.88,1.57,-31.98,17,1
71_05,4071,4069,1,1,1X1,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,1.684948997,-5.705,-1.77,0.31,5.88,1.57,-31.98,17,1
71_06,4071,4069,1,1,1X1,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,1.684948997,-5.705,-1.77,0.31,5.88,1.57,-31.98,17,1
71_07,4071,4084,1,0,1X0,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,74.76627787,6.995,0.76,0.28,15.61,6.57,26.29,14,1
71_08,4071,4084,1,0,1X0,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,74.76627787,6.995,0.76,0.28,15.61,6.57,26.29,14,1
71_10,4071,4061,1,1,1X1,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.759239,37.618494,87.025,7.59,14.37,88.96,71.74,0,NA,10519.5201,-2.73,0.61,-0.98,-6.21,-14.74,62.64,NA,2
71_12,4071,4061,1,1,1X1,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,-104.759239,37.618494,87.025,7.59,14.37,88.96,71.74,0,NA,10519.5201,-2.73,0.61,-0.98,-6.21,-14.74,62.64,NA,2
72_06,4072,4186,1,0,1X0,-104.705983,37.533718,94.78,6.83,15.76,65.93,68.42,41.71,32,-104.834203,37.764114,89.68,8.13,12.2,78.59,63.34,15.26,32.5,27963.26749,5.1,3.56,-1.3,-12.66,5.08,26.45,-0.5,3
73_01,4073,4103,0,1,0X1,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,-104.421926,37.222687,85.055,6.49,13.23,78.59,66.91,20.18,34,42717.72768,7.33,2.28,0.17,-11.14,23.07,40.83,-4,4
74_01,4074,4130,1,NA,1XNA,-104.706041,37.533797,111.38,9.79,16.82,91.28,70.72,48.6,36.5,-104.545878,37.310142,84.915,6.23,13,85.05,64.09,32.58,32,28585.79837,26.465,3.82,3.56,6.23,6.63,16.02,4.5,3
74_02,4074,4069,1,1,1X1,-104.706041,37.533797,111.38,9.79,16.82,91.28,70.72,48.6,36.5,-104.705964,37.533715,90,6.3,16.75,76.87,55.43,94.62,17,11.36421842,21.38,0.07,3.49,14.41,15.29,-46.02,19.5,1
76_01,4076,4081,0,1,0X1,-104.706019,37.533849,90,7.72,16.18,82.86,63.24,56.19,33.5,-104.706341,37.533939,98.19,6.67,17.81,87.54,57.02,71.79,31,30.16216606,-8.19,-1.63,1.05,-4.68,6.22,-15.6,2.5,1
76_03,4076,4077,0,1,0X1,-104.706019,37.533849,90,7.72,16.18,82.86,63.24,56.19,33.5,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,8.102184863,-0.075,2.51,1.54,9.57,9.32,32.82,-1.5,1
76_05,4076,4070,0,1,0X1,-104.706019,37.533849,90,7.72,16.18,82.86,63.24,56.19,33.5,-104.705968,37.533716,87.495,7.04,16.04,80.77,68.95,0,NA,15.43427387,2.505,0.14,0.68,2.09,-5.71,56.19,NA,1
77_03,4077,4078,1,0,1X0,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,3.38820357,12.855,-0.65,0.79,-0.94,-6.86,0.57,-5.5,1
77_05,4077,4092,1,1,1X1,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,-104.706403,37.534703,89.42,7.53,16.89,90.83,68.24,56.47,34,100.8137703,0.655,-3.22,-1.35,-17.54,-14.32,-33.1,1,1
77_08,4077,4078,1,0,1X0,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,3.38820357,12.855,-0.65,0.79,-0.94,-6.86,0.57,-5.5,1
77_13,4077,4078,1,0,1X0,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,3.38820357,12.855,-0.65,0.79,-0.94,-6.86,0.57,-5.5,1
78_05,4078,4079,0,1,0X1,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,-104.706292,37.533838,99.035,9.12,15.79,91.56,69.18,70.22,34.5,14.56685741,-21.815,-1.47,-3.73,-17.33,-8.4,-47.42,6,1
78_06,4078,4079,0,1,0X1,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,-104.706292,37.533838,99.035,9.12,15.79,91.56,69.18,70.22,34.5,14.56685741,-21.815,-1.47,-3.73,-17.33,-8.4,-47.42,6,1
78_08,4078,4079,0,1,0X1,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,-104.706292,37.533838,99.035,9.12,15.79,91.56,69.18,70.22,34.5,14.56685741,-21.815,-1.47,-3.73,-17.33,-8.4,-47.42,6,1
78_09,4078,4087,0,1,0X1,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,-104.706714,37.534602,80.08,6.32,13.89,73.67,49.28,0,NA,98.1330534,-2.86,0.43,-0.93,0.56,11.5,22.8,NA,1
78_10,4078,4079,0,1,0X1,-104.706128,37.533851,77.22,5.39,14.32,74.23,60.78,22.8,40.5,-104.706292,37.533838,99.035,9.12,15.79,91.56,69.18,70.22,34.5,14.56685741,-21.815,-1.47,-3.73,-17.33,-8.4,-47.42,6,1
80_01,4080,4060,1,1,1X1,-104.706367,37.533932,101.435,7.12,16.31,78.94,53.42,37.23,29,-104.759233,37.618485,103.11,6.31,15.52,82.66,59.09,8.31,27,10482.151,-1.675,0.79,0.81,-3.72,-5.67,28.92,2,2
80_02,4080,4162,1,0,1X0,-104.706367,37.533932,101.435,7.12,16.31,78.94,53.42,37.23,29,-104.555109,37.31861,94.11,7.04,16.44,84.2,58.91,68.09,33,27392.35158,7.325,-0.13,0.08,-5.26,-5.49,-30.86,-4,3
80_05,4080,4025,1,1,1X1,-104.706367,37.533932,101.435,7.12,16.31,78.94,53.42,37.23,29,-104.759582,37.618548,64.34,3.96,9.35,37.02,29.68,0,NA,10502.17349,37.095,6.96,3.16,41.92,23.74,37.23,NA,2
81_01,4081,4097,1,0,1X0,-104.706341,37.533939,98.19,6.67,17.81,87.54,57.02,71.79,31,-104.706301,37.534525,98.225,7.05,13.77,89.06,65.99,46.71,32,65.13479992,-0.035,4.04,-0.38,-1.52,-8.97,25.08,-1,1
81_03,4081,4104,1,0,1X0,-104.706341,37.533939,98.19,6.67,17.81,87.54,57.02,71.79,31,-104.546588,37.311087,96.28,6.86,17.68,98.04,80.15,30.59,32,28490.36485,1.91,0.13,-0.19,-10.5,-23.13,41.2,-1,3
81_04,4081,4104,1,0,1X0,-104.706341,37.533939,98.19,6.67,17.81,87.54,57.02,71.79,31,-104.546588,37.311087,96.28,6.86,17.68,98.04,80.15,30.59,32,28490.36485,1.91,0.13,-0.19,-10.5,-23.13,41.2,-1,3
81_06,4081,4101,1,1,1X1,-104.706341,37.533939,98.19,6.67,17.81,87.54,57.02,71.79,31,-104.706058,37.534222,87.03,7,15.84,88.11,71.04,43.7,40,40.15232031,11.16,1.97,-0.33,-0.57,-14.02,28.09,-9,1
81_10,4081,4101,1,1,1X1,-104.706341,37.533939,98.19,6.67,17.81,87.54,57.02,71.79,31,-104.706058,37.534222,87.03,7,15.84,88.11,71.04,43.7,40,40.15232031,11.16,1.97,-0.33,-0.57,-14.02,28.09,-9,1
82_06,4082,4086,1,1,1X1,-104.706343,37.533949,81.01,7.78,14.5,72.31,48.74,61.6,34,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,75.50018028,-16.01,-2.54,-0.22,-6.31,-5.98,-8.45,1.5,1
82_08,4082,4187,1,1,1X1,-104.706343,37.533949,81.01,7.78,14.5,72.31,48.74,61.6,34,-104.834195,37.764115,78.47,5.95,11.31,78.42,59.32,25.21,30,27926.78195,2.54,3.19,1.83,-6.11,-10.58,36.39,4,3
83_03,4083,4095,0,0,0X0,-104.706241,37.534158,87.075,7.18,16.72,93.86,71.2,31.08,33.5,-104.706273,37.534518,79.28,6.13,12.82,82.77,62.87,45.99,26.5,40.0555445,7.795,3.9,1.05,11.09,8.33,-14.91,7,1
83_04,4083,4095,0,0,0X0,-104.706241,37.534158,87.075,7.18,16.72,93.86,71.2,31.08,33.5,-104.706273,37.534518,79.28,6.13,12.82,82.77,62.87,45.99,26.5,40.0555445,7.795,3.9,1.05,11.09,8.33,-14.91,7,1
83_05,4083,4158,0,0,0X0,-104.706241,37.534158,87.075,7.18,16.72,93.86,71.2,31.08,33.5,-104.555679,37.319172,83.59,7.07,15.91,81.69,57.43,36.43,35,27329.69891,3.485,0.81,0.11,12.17,13.77,-5.35,-1.5,3
83_06,4083,4095,0,0,0X0,-104.706241,37.534158,87.075,7.18,16.72,93.86,71.2,31.08,33.5,-104.706273,37.534518,79.28,6.13,12.82,82.77,62.87,45.99,26.5,40.0555445,7.795,3.9,1.05,11.09,8.33,-14.91,7,1
83_08,4083,4095,0,0,0X0,-104.706241,37.534158,87.075,7.18,16.72,93.86,71.2,31.08,33.5,-104.706273,37.534518,79.28,6.13,12.82,82.77,62.87,45.99,26.5,40.0555445,7.795,3.9,1.05,11.09,8.33,-14.91,7,1
83_09,4083,4090,0,1,0X1,-104.706241,37.534158,87.075,7.18,16.72,93.86,71.2,31.08,33.5,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,60.34557832,4.94,0.06,0.68,7.05,7.54,-2.07,-1.5,1
84_01,4084,4011,0,1,0X1,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,-104.759535,37.618438,94.795,5.35,16.22,80.69,57.99,21.59,29,10450.98742,-17.495,-2,0.98,-13.55,-7.56,14.76,-9,2
84_02,4084,4163,0,0,0X0,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,-104.545937,37.310252,75.47,6.56,11.95,66.13,50.26,30.65,33,28637.01872,1.83,2.27,-0.23,1.01,0.17,5.7,-13,3
84_03,4084,4005,0,1,0X1,-104.70633,37.534334,77.3,6.33,14.22,67.14,50.43,36.35,20,-104.759621,37.618527,82.11,6.65,11.85,77.2,53.66,9.62,26,10463.2256,-4.81,2.37,-0.32,-10.06,-3.23,26.73,-6,2
85_01,4085,4090,1,1,1X1,-104.706642,37.534569,87.335,6.65,13.96,83.56,60.65,43.48,32.5,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,6.345909938,5.2,-2.7,0.15,-3.25,-3.01,10.33,-2.5,1
85_02,4085,4090,1,1,1X1,-104.706642,37.534569,87.335,6.65,13.96,83.56,60.65,43.48,32.5,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,6.345909938,5.2,-2.7,0.15,-3.25,-3.01,10.33,-2.5,1
85_03,4085,4156,1,0,1X0,-104.706642,37.534569,87.335,6.65,13.96,83.56,60.65,43.48,32.5,-104.555695,37.319146,81.46,7.41,13.2,83.82,64.37,26.95,32,27388.64402,5.875,0.76,-0.76,-0.26,-3.72,16.53,0.5,3
