"sampleName","sampleConc.x"
"101_05",0
"82_02",0.078
"71_13",0.006
"89_21",0
"98_24",0
"93_07",0
"89_17",0.003
"100_15",0
"102_06",0.041
"102_05",0.01
"69_10",0.002
"89_12",0
"77_03",0
"86_01",0
"93_02",0.001
"72_01",0.076
"89_15",0
"84_02",0.018
"84_03",0
"93_04",0
"102_02",0.001
"101_06",0.0155
"102_03",0
"100_06",0.055
"71_09",0
"81_03",0
"92_01",0.024
"77_13",0.001
"89_10",0
"92_03",0
"82_08",0.017
"78_07",0
"84_01",0.046
"81_02",0
"89_16",0
"69_04",0.015
"82_03",0.095
"102_08",0
"81_11",0.002
"69_14",0.027
"99_02",0
"102_09",0
"93_08",0
"78_04",0.002
"91_06",0
"90_01",0.001
"101_01",0.02
"77_12",0.033
"102_14",0
"89_03",0
"98_20",0
"82_07",0
"71_12",0
"89_13",0
"89_14",0
"85_03",0.007
"85_01",0
"78_02",0.022
"88_06",0
"102_13",0
"98_06",0
"98_12",0.136
"100_08",0.001
"100_05",0
"98_22",0.001
"100_19",0
"98_23",0
"95_05",0
"74_01",0.038
"98_04",0
"101_04",0.002
"88_07",0.001
"no_tag_C",0.052
"82_05",0.001
"76_05",0
"101_09",0.056
"100_02",0.007
"100_17",0.002
"98_09",0
"98_14",0
"98_18",0
"93_06",0
"73_01",0
"83_06",0
"95_08",0
"98_16",0
"98_21",0.001
"69_12_02",0.001
"83_07_02",0.001
"80_05_02",0.004
"77_07_02",0.001
"83_08_02",0
"78_09_04",0
"83_03_02",0
"83_09_02",0
"77_10",0
"93_05",0
"100_10",0
"101_02",0.053
"69_01",0
"95_02",0
"95_16",0
"82_01",0.003
"95_04",0.001
"91_07",0
"G31_03",0.015
"G15_26",0
"G15_27",0
"G71_30",0
"G04_01",0
"G67_10",0
"G03_06",0
"G15_11",0
"G16_07",0
"G44_29",0
"G56_03",0
"G02_25",0.009
"G06_09",0
"G02_26",0.008
"G02_29",0
"G71_01",0
"G56_19",0
"G04_08",0
"G33_01",0
"G13_17",0.041
"G29_20",0
"G59_08",0.014
"G01_14",0.009
"G04_02",0
"G03_10",0
"G25_15",0
"G31_04",0
"G20_28",0.041
"G57_06",0
"G27_29",0
"G68_27",0
"G36_01",0.004
"G06_27",0.048
"G48_07",0
"G14_11",0
"G59_02",0.015
"G32_10",0.021
"G03_22",0
"G53_08",0
"G35_05",0.008
"G14_12",0.002
"G25_26",0
"G34_16",0.029
"G16_22",0.005
"G14_02",0.021
"G70_10",0
"G15_21",0
"G26_25",0
"G25_01",0
"G34_01",0
"G62_18",0
"G20_08",0.059
"G01_02",0.15
"G68_14",0.001
"G50_12",0
"G34_18",0.034
"G64_12",0
"G32_19",0
"NT_01",0
"G02_19",0.021
"G02_08",0
"G48_18",0
"G07_27",0
"G65_28",0
"G01_04",0
"G18_20",0
"G12_20",0
"G03_14",0
"G20_06",0
"G36_14",0
"G14_19",0.145
"G27_03",0
"G50_15",0
"G22_07",0.035
"G13_18",0.009
"G61_08",0
"G03_04",0
"G28_23",0.079
"G02_16",0
"G02_06",0.002
"G43_25",0
"G18_13",0
"G47_15",0
"G06_21",0.024
"G01_18",0
"G26_15",0
"G01_08",0.02
"G62_20",0
"G02_27",0.017
"G28_22",0.026
"G64_21",0.042
"G48_23",0.001
"G60_26",0
"G58_21",0.009
"G22_17",0
"G16_26",0
"G12_04",0.017
"G03_17",0
"G54_29",0.044
"G18_01",0
"G31_17",0.013
"G20_17",0.034
"G14_17",0
"G62_21",0
"G47_02",0
"G01_11",0
"G01_25",0
"G17_11",0
"G75_27",0
"G33_10",0
"G25_03",0
"G75_20",0
"G31_14",0
"G73_03",0
"G47_30",0
"G56_08",0
"G48_03",0
"G06_26",0
"G08_23",0
"G47_23",0
"G06_05",0
"G60_27",0
"G08_13",0.001
"G57_05",0.007
"G59_06",0
"G39_09",0
"G18_19",0
"G27_02",0
"G64_08",0
"G17_17",0
"G22_25",0.008
"G70_27",0
"G73_07",0
"G24_21",0.051
"G44_26",0
"G12_18",0.016
"G24_02",0
"G03_25",0
"G61_18",0
"G62_28",0
"G62_06",0
"G17_21",0
"G48_13",0
"G16_11",0.001
"G62_03",0
"G08_07",0
"G24_04",0.002
"G70_28",0
"G14_21",0.005
"G59_23",0
"G20_10",0.001
"G06_01",0.011
"G70_13",0
"G61_13",0
"G58_30",0
"G59_12",0.001
"G68_16",0
"G20_19",0.0015
"G20_16",0.008
"G18_07",0
"G04_24",0
"G68_12",0
"G06_12",0.006
"G54_17",0.067
"G68_06",0
"G67_18",0
"G68_28",0
"NT_02",0
"G13_04",0
"G45_01",0
"G01_29",0
"G54_11",0
"G06_20",0
"G48_24",0
"G53_27",0
"G63_09",0
"G04_19",0
"G22_20",0.006
"G44_23",0
"G47_20",0
"G73_09",0
"G17_04",0
"G32_22",0
"G70_05",0
"G45_19",0
"G75_18",0
"G47_01",0
"G14_13",0
"G10_09",0.01
"G18_09",0
"G45_02",0
"G73_30",0
"G63_12",0
"G62_23",0
"G24_48",0
"G17_24",0
"G45_04",0
"G12_22",0
"G15_14",0
"G42_14",0
"G02_11",0.008
"G57_28",0.002
"G04_05",0
"G22_27",0.021
"G04_26",0
"G37_12",0
"G44_16",0
"Oharry??",0
"G01_32",0.001
"G12_10",0
"81_06_02",0.001
