cross_id,indiv_id,date_plate,plate_number,date_germ1,germ1week,date_nicked,embryo_extracted,date_germ,date_plant
G75,1,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,2,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,3,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,4,1/3/20,A,1/11/20,N,1/11/20,Y,,
G75,5,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,6,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,7,1/3/20,A,1/11/20,N,1/11/20,Y,,
G75,8,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,9,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,10,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,11,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,12,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,13,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,14,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,15,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G75,16,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,17,1/3/20,B,1/11/20,N,1/11/20,Y,,1/16/20
G75,18,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,19,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,20,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,21,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,
G75,22,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,23,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,24,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,25,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,
G75,26,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,27,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,28,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G75,29,1/3/20,B,1/11/20,N,1/11/20,Y,,
G75,30,1/3/20,B,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,1,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,2,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,3,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,4,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G74,5,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,6,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,7,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,8,1/3/20,A,1/11/20,N,1/11/20,Y,mold,
G74,9,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,
G74,10,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
G74,11,1/3/20,A,1/11/20,N,1/11/20,Y,1/13/20,1/16/20
