Sample,Maternal,Paternal
G01_02,98_12,100_05
G01_04,98_12,100_05
G01_08,98_12,100_05
G01_11,98_12,100_05
G01_14,98_12,100_05
G01_18,98_12,100_05
G01_22,98_12,100_05
G01_23,98_12,100_05
G01_25,98_12,100_05
G01_29,98_12,100_05
G02_06,100_05,98_12
G02_07,100_05,98_12
G02_08,100_05,98_12
G02_11,100_05,98_12
G02_16,100_05,98_12
G02_19,100_05,98_12
G02_25,100_05,98_12
G02_26,100_05,98_12
G02_27,100_05,98_12
G02_29,100_05,98_12
G03_03,93_07,77_03
G03_04,93_07,77_03
G03_05,93_07,77_03
G03_06,93_07,77_03
G03_10,93_07,77_03
G03_14,93_07,77_03
G03_16,93_07,77_03
G03_17,93_07,77_03
G03_19,93_07,77_03
G03_22,93_07,77_03
G03_25,93_07,77_03
G04_01,98_09,93_06
G04_02,98_09,93_06
G04_05,98_09,93_06
G04_08,98_09,93_06
G04_19,98_09,93_06
G04_24,98_09,93_06
G04_26,98_09,93_06
G04_28,98_09,93_06
G06_01,98_09,82_05
G06_05,98_09,82_05
G06_09,98_09,82_05
G06_12,98_09,82_05
G06_20,98_09,82_05
G06_21,98_09,82_05
G06_26,98_09,82_05
G06_27,98_09,82_05
G07_27,no_tag_C,93_06
G08_07,76_05,101_09
G08_10,76_05,101_09
G08_11,76_05,101_09
G08_13,76_05,101_09
G08_20,76_05,101_09
G08_23,76_05,101_09
G08_27,76_05,101_09
G10_04,82_05,76_05
G10_02,82_05,76_05
G10_09,82_05,76_05
G10_10,82_05,76_05
G10_14,82_05,76_05
G10_16,82_05,76_05
G10_25,82_05,76_05
G10_26,82_05,76_05
G10_27,82_05,76_05
G12_03,77_03,82_02
G12_04,77_03,82_02
G12_06,77_03,82_02
G12_07,77_03,82_02
G12_10,77_03,82_02
G12_16,77_03,82_02
G12_17,77_03,82_02
G12_18,77_03,82_02
G12_20,77_03,82_02
G12_22,77_03,82_02
G12_27,77_03,82_02
G13_03,82_02,77_03
G13_04,82_02,77_03
G13_05,82_02,77_03
G13_12,82_02,77_03
G13_16,82_02,77_03
G13_17,82_02,77_03
G13_18,82_02,77_03
G13_21,82_02,77_03
G13_28,82_02,77_03
G14_02,77_12,71_12
G14_10,77_12,71_12
G14_11,77_12,71_12
G14_12,77_12,71_12
G14_13,77_12,71_12
G14_17,77_12,71_12
G14_19,77_12,71_12
G14_21,77_12,71_12
G14_24,77_12,71_12
G15_01,71_12,95_05
G15_05,71_12,95_05
G15_11,71_12,95_05
G15_14,71_12,95_05
G15_20,71_12,95_05
G15_21,71_12,95_05
G15_26,71_12,95_05
G15_27,71_12,95_05
G16_03,95_05,77_12
G16_07,95_05,77_12
G16_09,95_05,77_12
G16_11,95_05,77_12
G16_17,95_05,77_12
G16_22,95_05,77_12
G16_24,95_05,77_12
G16_25,95_05,77_12
G16_26,95_05,77_12
G17_04,102_03,78_04
G17_06,102_03,78_04
G17_11,102_03,78_04
G17_17,102_03,78_04
G17_21,102_03,78_04
G17_22,102_03,78_04
G17_23,102_03,78_04
G17_24,102_03,78_04
G18_01,89_12,102_03
G18_07,89_12,102_03
G18_09,89_12,102_03
G18_13,89_12,102_03
G18_19,89_12,102_03
G18_20,89_12,102_03
G18_21,89_12,102_03
G18_26,89_12,102_03
G20_04,82_03,100_08
G20_06,82_03,100_08
G20_07,82_03,100_08
G20_08,82_03,100_08
G20_10,82_03,100_08
G20_16,82_03,100_08
G20_17,82_03,100_08
G20_19,82_03,100_08
G20_25,82_03,100_08
G20_28,82_03,100_08
G22_07,92_01,82_03
G22_08,92_01,82_03
G22_09,92_01,82_03
G22_17,92_01,82_03
G22_20,92_01,82_03
