Offspring ID,Mother ID,Candidate father ID,Pair LOD score,Pair top LOD,Pair confidence,Trio LOD score,Trio top LOD,Trio confidence
69_02,4069,4107,2.38E-01,0.00E+00,,2.38E-01,2.38E-01,-
69_04,4069,4073,3.64E+00,0.00E+00,,4.34E+00,4.34E+00,-
69_05,4069,4086,1.17E+00,0.00E+00,,1.17E+00,1.17E+00,-
69_06,4069,4084,1.85E+00,0.00E+00,,2.55E+00,2.55E+00,-
69_07,4069,4086,2.11E+00,2.11E+00,-,2.11E+00,2.11E+00,-
69_08,4069,4104,3.41E+00,3.41E+00,-,4.79E+00,4.79E+00,+
69_09,4069,4087,1.74E+00,1.74E+00,-,2.42E+00,2.42E+00,-
69_10,4069,4050,3.16E+00,3.16E+00,-,3.85E+00,3.85E+00,-
69_12,4069,4072,4.69E+00,4.69E+00,-,5.15E+00,5.15E+00,+
69_13,4069,4072,6.93E+00,6.93E+00,*,6.95E+00,6.95E+00,*
69_14,4069,4072,4.05E+00,4.05E+00,-,3.51E+00,3.51E+00,-
69_15,4069,4104,1.71E+00,0.00E+00,,3.09E+00,3.09E+00,-
69_16,4069,4072,5.03E+00,5.03E+00,-,4.49E+00,4.49E+00,-
69_17,4069,4073,1.83E+00,1.83E+00,-,1.84E+00,1.84E+00,-
69_20,4069,4072,3.79E+00,3.79E+00,-,4.49E+00,4.49E+00,-
71_01,4071,4097,2.80E+00,2.80E+00,-,2.80E+00,2.80E+00,-
71_03,4071,4062,2.13E+00,0.00E+00,,2.70E+00,2.70E+00,-
71_04,4071,4069,1.92E+00,1.92E+00,-,1.92E+00,1.92E+00,-
71_07,4071,4062,4.28E+00,4.28E+00,-,4.28E+00,4.28E+00,-
71_08,4071,4044,2.52E+00,2.52E+00,-,2.52E+00,2.52E+00,-
71_09,4071,4061,3.53E+00,0.00E+00,,4.09E+00,4.09E+00,-
71_10,4071,4062,3.60E+00,3.60E+00,-,4.16E+00,4.16E+00,-
71_11,4071,4062,1.45E+00,0.00E+00,,2.02E+00,2.02E+00,-
71_13,4071,4021,2.68E+00,2.68E+00,-,2.68E+00,2.68E+00,-
72_01,4072,4069,2.61E+00,2.61E+00,-,2.07E+00,2.07E+00,-
72_02,4072,4103,3.05E+00,3.05E+00,-,4.38E+00,4.38E+00,-
72_03,4072,4062,2.81E+00,2.81E+00,-,3.51E+00,3.51E+00,-
72_04,4072,4065,1.71E+00,1.71E+00,-,1.72E+00,1.72E+00,-
72_05,4072,4011,2.50E+00,2.50E+00,-,3.19E+00,3.19E+00,-
72_06,4072,4076,2.53E+00,2.53E+00,-,2.79E+00,2.79E+00,-
73_01,4073,4103,2.36E+00,2.36E+00,-,4.41E+00,4.41E+00,-
74_01,4074,4023,2.31E+00,2.31E+00,-,1.86E+00,1.86E+00,-
74_02,4074,4069,3.19E+00,3.19E+00,-,4.07E+00,4.07E+00,-
76_01,4076,4077,5.83E+00,5.83E+00,+,4.65E+00,4.65E+00,-
76_02,4076,4078,3.34E+00,3.34E+00,-,2.87E+00,2.87E+00,-
76_03,4076,4077,5.50E+00,5.50E+00,+,4.36E+00,4.36E+00,-
77_01,4077,4086,1.25E+00,0.00E+00,,1.93E+00,1.93E+00,-
78_06,4078,4079,3.38E+00,3.38E+00,-,2.14E+00,2.14E+00,-
78_09,4078,4090,3.53E+00,0.00E+00,,2.63E+00,2.63E+00,-
78_10,4078,4079,3.94E+00,3.94E+00,-,3.87E+00,3.87E+00,-
78_11,4078,4068,3.29E+00,3.29E+00,-,1.88E+00,1.88E+00,-
80_01,4080,4081,3.04E+00,0.00E+00,,2.54E+00,2.54E+00,-
80_02,4080,4081,4.14E+00,4.14E+00,-,2.74E+00,2.74E+00,-
80_03,4080,4097,4.72E-01,0.00E+00,,3.85E+00,3.85E+00,-
81_01,4081,4100,4.72E+00,4.72E+00,-,3.37E+00,3.37E+00,-
81_02,4081,4063,2.62E+00,2.62E+00,-,2.85E+00,2.85E+00,-
81_03,4081,4104,2.93E+00,2.93E+00,-,5.00E+00,5.00E+00,+
