germ_tray,cross_id,indiv_id,planted,plate,
germ_tray_2_green,G20,16,yes,B,
germ_tray_2_green,G20,17,yes,B,
germ_tray_2_green,G20,19,yes,B,
germ_tray_2_green,G20,25,yes,B,
germ_tray_2_green,G20,28,yes,B,
germ_tray_2_green,G14,2,yes,A,
germ_tray_2_green,G14,10,yes,A,
germ_tray_2_green,G14,11,yes,A,
germ_tray_2_green,G14,12,yes,A,
germ_tray_2_green,G14,13,yes,A,
germ_tray_2_green,G14,17,yes,B,
germ_tray_2_green,G14,19,yes,B,
germ_tray_2_green,G14,21,yes,B,
germ_tray_2_green,G14,24,yes,B,
germ_tray_2_green,G14,25,yes,B,
germ_tray_2_green,G03,3,yes,A,
germ_tray_2_green,G03,4,yes,A,
germ_tray_2_green,G03,6,yes,A,
germ_tray_2_green,G03,10,yes,A,
germ_tray_2_green,G03,14,yes,A,
germ_tray_2_green,G03,16,yes,B,
germ_tray_2_green,G03,17,yes,B,
germ_tray_2_green,G03,19,yes,B,
germ_tray_2_green,G03,22,yes,B,
germ_tray_2_green,G03,25,yes,B,
germ_tray_2_green,G08,6,no,A,
germ_tray_2_green,G08,7,yes,A,
germ_tray_2_green,G08,10,yes,A,
germ_tray_2_green,G08,11,yes,A,
germ_tray_2_green,G08,13,yes,A,
germ_tray_2_green,G08,18,yes,B,
germ_tray_2_green,G08,20,yes,B,
germ_tray_2_green,G08,21,yes,B,
germ_tray_2_green,G08,23,yes,B,
germ_tray_2_green,G08,27,yes,B,
germ_tray_2_green,G17,2,no,A,
germ_tray_2_green,G17,4,yes,A,
germ_tray_2_green,G17,5,no,A,
germ_tray_2_green,G17,6,yes,A,
germ_tray_2_green,G17,10,no,A,
germ_tray_2_green,G17,16,no,B,
germ_tray_2_green,G17,17,yes,B,
germ_tray_2_green,G17,19,no,B,
germ_tray_2_green,G17,21,yes,B,
germ_tray_2_green,G17,23,yes,B,
germ_flat_1_yellow,G06,3,yes,A,
germ_flat_1_yellow,G06,26,yes,B,
germ_flat_1_yellow,G06,1,yes,A,
germ_flat_1_yellow,G06,5,yes,A,
germ_flat_1_yellow,G06,9,yes,A,
germ_flat_1_yellow,G18,1,yes,A,
germ_flat_1_yellow,G18,2,yes,A,
germ_flat_1_yellow,G18,6,no,A,
germ_flat_1_yellow,G18,9,yes,A,
germ_flat_1_yellow,G18,13,yes,A,
germ_flat_1_yellow,G01,2,yes,A,
germ_flat_1_yellow,G01,4,yes,A,
germ_flat_1_yellow,G01,8,yes,A,
germ_flat_1_yellow,G01,12,no,A,
germ_flat_1_yellow,G01,14,yes,A,
germ_flat_1_yellow,G01,19,no,B,
germ_flat_1_yellow,G01,22,yes,B,
germ_flat_1_yellow,G01,23,yes,B,
germ_flat_1_yellow,G01,26,no,B,
germ_flat_1_yellow,G01,29,yes,B,
germ_flat_1_yellow,G02,6,yes,A,
germ_flat_1_yellow,G02,7,yes,A,
germ_flat_1_yellow,G02,8,yes,A,
germ_flat_1_yellow,G02,11,yes,A,
germ_flat_1_yellow,G02,14,no,A,
germ_flat_1_yellow,G02,20,no,B,
germ_flat_1_yellow,G02,25,yes,B,
germ_flat_1_yellow,G02,26,yes,B,
germ_flat_1_yellow,G02,27,yes,B,
germ_flat_1_yellow,G02,29,yes,B,
germ_flat_1_yellow,G04,16,yes,B,
germ_flat_1_yellow,G04,19,yes,B,
germ_flat_1_yellow,G04,24,yes,B,
germ_flat_1_yellow,G04,26,yes,B,
germ_flat_1_yellow,G04,28,yes,B,
germ_flat_1_yellow,G04,1,yes,A,
germ_flat_1_yellow,G06,20,yes,B,
germ_flat_1_yellow,G06,21,yes,B,
germ_flat_1_yellow,G06,27,yes,B,
germ_flat_1_yellow,G06,30,yes,B,
germ_flat_1_yellow,G18,20,yes,B,
germ_flat_1_yellow,G18,19,yes,B,
germ_flat_1_yellow,G18,21,yes,B,
germ_flat_1_yellow,G18,26,yes,B,
germ_flat_1_yellow,G06,12,yes,A,
germ_flat_1_yellow,G20,4,yes,A,
germ_flat_1_yellow,G20,6,yes,A,
germ_flat_1_yellow,G20,7,yes,A,
germ_flat_1_yellow,G20,8,yes,A,
germ_flat_1_yellow,G20,10,yes,A,
germ_10,G43,5,yes,A,
germ_10,G43,6,yes,A,
germ_10,G43,16,yes,B,
germ_10,G43,30,yes,B,
germ_10,G45,1,yes,A,more than 5 plants
germ_10,G45,2,yes,A,more than 5 plants
germ_10,G45,3,yes,A,more than 5 plants
germ_10,G45,4,yes,A,more than 5 plants
germ_10,G45,5,yes,A,more than 5 plants
germ_10,G45,6,yes,A,more than 5 plants
germ_10,G45,7,yes,A,more than 5 plants
germ_10,G45,8,yes,A,more than 5 plants
germ_10,G47,1,yes,A,
germ_10,G47,2,yes,A,
germ_10,G47,5,yes,A,
germ_10,G47,12,yes,A,
germ_10,G47,15,yes,A,
germ_10,G50,3,yes,A,
germ_10,G50,11,yes,A,
germ_10,G50,12,yes,A,
germ_10,G52,3,yes,A,germ_10 is not really random sampling
germ_10,G52,4,yes,A,
germ_10,G52,10,yes,A,
germ_10,G52,17,no,B,
germ_10,G25,19,no,B,
germ_10,G25,26,yes,B,
germ_10,G25,27,yes,B,
germ_10,G32,10,yes,A,
germ_10,G33,1,yes,A,
germ_10,G33,2,yes,A,
germ_10,G33,3,yes,A,
germ_10,G33,10,yes,A,
germ_10,G34,2,yes,A,
germ_10,G34,14,no,A,
germ_10,G34,23,yes,B,
germ_10,G34,24,yes,B,
germ_10,G34,25,yes,B,
germ_10,G35,15,yes,A,
germ_10,G35,22,yes,B,
germ_10,G36,16,yes,B,
germ_10,G37,1,yes,A,
germ_10,G37,12,yes,A,
germ_10,G37,13,yes,A,
germ_10,G37,14,yes,A,
germ_10,G39,1,no,A,
germ_10,G39,8,yes,A,
germ_10,G39,15,yes,A,
germ_10,G43,1,yes,A,
germ_10,G43,11,yes,A,
germ_10,G43,28,yes,B,
germ_10,G43,29,yes,B,
germ_10,G45,19,yes,B,
germ_10,G48,23,yes,B,
germ_10,G48,24,yes,B,
germ_10,G48,26,yes,B,
germ_10,G50,13,no,A,
germ_10,G50,15,yes,A,
germ_10,G51,12,yes,A,
germ_10,G52,12,yes,A,
germ_tray_5,G27,3,yes,A,
germ_tray_5,G27,7,yes,A,
germ_tray_5,G27,14,yes,A,
germ_tray_5,G27,22,yes,B,
germ_tray_5,G29,15,yes,A,
germ_tray_5,G31,4,yes,A,
germ_tray_5,G31,5,yes,A,
germ_tray_5,G31,14,yes,A,
germ_tray_5,G31,15,yes,A,
germ_tray_5,G26,7,no,A,
germ_tray_5,G26,11,yes,A,
germ_tray_5,G26,12,yes,A,
germ_tray_5,G26,14,no,A,
germ_tray_5,G26,18,no,B,
