"Mother.ID","Candidate.father.ID","offspring","chemotype.x","chemotype.y","cross"
4069,4071,2,1,1,"1X1"
4069,4072,4,1,1,"1X1"
4069,4073,4,1,0,"1X0"
4069,4084,1,1,0,"1X0"
4069,4104,2,1,0,"1X0"
4071,4061,2,1,1,"1X1"
4071,4069,3,1,1,"1X1"
4071,4084,3,1,0,"1X0"
4072,4186,1,1,0,"1X0"
4073,4103,1,0,1,"0X1"
4074,4069,1,1,1,"1X1"
4074,4130,1,1,NA,"1XNA"
4076,4070,1,0,1,"0X1"
4076,4077,1,0,1,"0X1"
4076,4081,1,0,1,"0X1"
4077,4078,3,1,0,"1X0"
4077,4092,1,1,1,"1X1"
4078,4079,4,0,1,"0X1"
4078,4087,1,0,1,"0X1"
4080,4025,1,1,1,"1X1"
4080,4060,1,1,1,"1X1"
4080,4162,1,1,0,"1X0"
4081,4097,1,1,0,"1X0"
4081,4101,2,1,1,"1X1"
4081,4104,2,1,0,"1X0"
4082,4086,1,1,1,"1X1"
4082,4187,1,1,1,"1X1"
4083,4090,1,0,1,"0X1"
4083,4095,4,0,0,"0X0"
4083,4158,1,0,0,"0X0"
4084,4005,1,0,1,"0X1"
4084,4011,1,0,1,"0X1"
4084,4163,1,0,0,"0X0"
4085,4090,3,1,1,"1X1"
4085,4156,1,1,0,"1X0"
4086,4071,1,1,1,"1X1"
4086,4079,1,1,1,"1X1"
4086,4158,1,1,0,"1X0"
4088,4061,1,1,1,"1X1"
4088,4087,1,1,1,"1X1"
4089,4092,2,0,1,"0X1"
4089,4097,1,0,0,"0X0"
4090,4077,1,1,1,"1X1"
4090,4086,1,1,1,"1X1"
4090,4091,2,1,0,"1X0"
4090,4124,1,1,0,"1X0"
4091,4002,1,0,0,"0X0"
4091,4103,1,0,1,"0X1"
4091,4116,1,0,NA,"0XNA"
4091,4117,1,0,0,"0X0"
4093,4163,1,0,0,"0X0"
4095,4096,1,0,0,"0X0"
4098,4089,1,0,0,"0X0"
4100,4003,1,1,1,"1X1"
4100,4024,1,1,1,"1X1"
4100,4035,1,1,1,"1X1"
4100,4057,1,1,1,"1X1"
4100,4077,1,1,1,"1X1"
4100,4080,1,1,1,"1X1"
4100,4086,4,1,1,"1X1"
4100,4090,1,1,1,"1X1"
4100,4132,1,1,1,"1X1"
4100,4145,1,1,1,"1X1"
4100,4188,1,1,1,"1X1"
4100,4196,1,1,1,"1X1"
4101,4102,1,1,0,"1X0"
4101,4142,1,1,1,"1X1"
4101,4180,1,1,1,"1X1"
4102,4073,2,0,0,"0X0"
4102,4104,5,0,0,"0X0"
