"","Mother.ID","Candidate.father.ID","offspring","chemotype.x","chemotype.y","cross"
"1","4069","4071",2,"1","1","1X1"
"2","4069","4072",4,"1","1","1X1"
"3","4069","4073",4,"1","0","1X0"
"4","4069","4084",1,"1","0","1X0"
"5","4071","4069",3,"1","1","1X1"
"6","4071","4084",3,"1","0","1X0"
"7","4074","4069",1,"1","1","1X1"
"8","4076","4070",1,"0","1","0X1"
"9","4076","4077",1,"0","1","0X1"
"10","4076","4081",1,"0","1","0X1"
"11","4077","4078",3,"1","0","1X0"
"12","4077","4092",1,"1","1","1X1"
"13","4078","4079",4,"0","1","0X1"
"14","4078","4087",1,"0","1","0X1"
"15","4081","4097",1,"1","0","1X0"
"16","4081","4101",2,"1","1","1X1"
"17","4082","4086",1,"1","1","1X1"
"18","4083","4090",1,"0","1","0X1"
"19","4083","4095",4,"0","0","0X0"
"20","4085","4090",3,"1","1","1X1"
"21","4086","4071",1,"1","1","1X1"
"22","4086","4079",1,"1","1","1X1"
"23","4088","4087",1,"1","1","1X1"
"24","4089","4092",2,"0","1","0X1"
"25","4089","4097",1,"0","0","0X0"
"26","4090","4077",1,"1","1","1X1"
"27","4090","4086",1,"1","1","1X1"
"28","4090","4091",2,"1","0","1X0"
"29","4095","4096",1,"0","0","0X0"
"30","4098","4089",1,"0","0","0X0"
"31","4100","4077",1,"1","1","1X1"
"32","4100","4080",1,"1","1","1X1"
"33","4100","4086",4,"1","1","1X1"
"34","4100","4090",1,"1","1","1X1"
"35","4101","4102",1,"1","0","1X0"
"36","4102","4073",2,"0","0","0X0"
