Name,site,chemotype,Lon,Lat,ele,time,Date,Site.Code.on.Vial,Skies,Wind,Temp..degrees.C.,Humdity,vial.,Species,Filter,Pump,corolla.diameter.1,corolla.diameter.2,floral.flare,filiment.length,style.length,tube.length,nectar.length,sucrose.equiv.,dry.flower.weight,GPS.coords.notes,corolla.mean
4001,Walsenburg,1,-104.759648,37.618611,NA,,11-May,WALS,clear,0,13.2,72.4,1682,O. harry,32,41,53.46,60.92,5.58,11.82,81.14,65.94,1.52,23,0.0836,hard to read S. eq.,83.92
4002,Walsenburg,0,-104.759638,37.618617,NA,,11-May,WALS,clear,0,13.2,72.4,1683,O. harry,35,22,58.24,59.78,5.96,15.08,84.81,57.18,1.8,19,0.0793,"shit ton of aphids, SE hard to read",88.13
4003,Walsenburg,1,-104.759607,37.618619,NA,,11-May,WALS,clear,0,13.2,72.4,1684,O. harry,34,1,57.89,57.59,5.42,16.54,78.43,52.29,3.66,NA,0.1018,not enough for SE,86.685
4004,Walsenburg,1,-104.759621,37.618553,NA,,11-May,WALS,clear,0,13.2,72.4,1685,O. harry,31,34,61.35,57.84,5.48,14.78,77.78,56.95,0,NA,0.087,,90.27
4005,Walsenburg,1,-104.759621,37.618527,NA,,11-May,WALS,clear,0,13.2,72.4,1686,O. harry,20,24,54.6,55.02,6.65,11.85,77.2,53.66,9.62,26,0.0723,"5 petals - 2 overlapping, 9 anthers ",82.11
4006,Walsenburg,1,-104.759636,37.618554,NA,,11-May,WALS,clear,0,13.2,72.4,1687,O. harry,30,27,58.76,55.72,7.04,13.85,70.23,51.96,0,NA,0.0902,petal ripped,86.62
4007,Walsenburg,NA,-104.759589,37.618524,NA,,11-May,WALS,clear,0,13.2,72.4,1688,O. harry,36,20,59.65,59,7.47,14.3,85.56,65.69,0,NA,0.1066,,89.15
4008,Walsenburg,NA,-104.759579,37.618449,NA,,11-May,WALS,clear,0,13.2,72.4,1689,O. harry,28,17,59.69,64.6,5.95,13.69,85.14,62.41,22.59,26,0.1075,petal torn,91.99
4009,Walsenburg,0,-104.759572,37.618435,NA,,11-May,WALS,clear,0,13.2,72.4,1690,O. harry,29,32,62.54,62.66,7.16,15.75,100.13,74.18,17.24,29,0.1176,flower damaged,93.87
4010,Walsenburg,1,-104.759548,37.618436,NA,,11-May,WALS,clear,0,13.2,72.4,1691,O. harry,37,16,69.99,67.88,6.25,16.46,93.67,71.4,0,NA,0.1191,,103.93
4011,Walsenburg,1,-104.759535,37.618438,NA,,11-May,WALS,clear,0,13.2,72.4,1692,O. harry,43,29,63.45,62.69,5.35,16.22,80.69,57.99,21.59,29,0.0976,,94.795
4012,Walsenburg,1,-104.759385,37.618386,NA,,11-May,WALS,clear,0,13.2,72.4,1693,O. harry,39,2,58.46,57.54,6.38,14.53,89.55,65.03,17.73,20,0.1163,,87.23
4013,Walsenburg,1,-104.759468,37.618414,NA,,11-May,WALS,clear,0,13.2,72.4,1694,O. harry,42,36,52.11,54.45,6.68,13.81,84.05,61.86,0,NA,0.0972,petal damage,79.335
4014,Walsenburg,1,-104.759429,37.618315,NA,,11-May,WALS,clear,0,13.2,72.4,1695,O. harry,26,6,55.28,57.83,6.48,14.88,85.92,66,20.9,26,0.0891,,84.195
4015,Walsenburg,0,-104.75948,37.618291,NA,,11-May,WALS,clear,0,13.2,72.4,1696,O. harry,29,45,45.35,42.53,5.74,10.64,67.98,50.42,NA,NA,0.0811,"petal damage, cut before ovary",66.615
4016,Walsenburg,1,-104.759416,37.618235,NA,,11-May,WALS,clear,0,13.2,72.4,1697,O. harry,27,25,44.85,42.47,4.67,10.9,63,45.64,12.17,29,0.0648,petal torn,66.085
4017,Walsenburg,1,-104.759357,37.618318,NA,,11-May,WALS,clear,0,13.2,72.4,1698,O. harry,44,35,58.31,56.4,6.66,15.37,92.05,76.79,25.35,27,0.1293,,86.51
4018,Walsenburg,0,-104.759345,37.618319,NA,,11-May,WALS,clear,0,13.2,72.4,1699,O. harry,47,18,66.16,62.81,5.7,13.69,84.58,60.87,21.42,25,0.1065,,97.565
4019,Walsenburg,1,-104.759461,37.618262,NA,,11-May,WALS,clear,0,13.2,72.4,1700,O. harry,19,42,48.16,53.88,5.84,12.64,80.33,59.69,0,NA,0.0969,,75.1
4020,Walsenburg,1,-104.759262,37.618527,NA,,11-May,WALS,clear,0,13.2,72.4,1701,O. harry,23,13,62.64,63.79,5.69,14.12,76.06,54.23,0,NA,0.0969,,94.535
4021,Walsenburg,1,-104.759393,37.618747,NA,,11-May,WALS,clear,0,13.2,72.4,1702,O. harry,41,10,57.37,59.02,5.29,13.54,78.4,53.53,2.01,20,0.0875,,86.88
