"vial","Pop","toluene.int.std","beta.myrcene","cis.ocimene","trans.ocimene","ocimene.epoxide","ocimene.epoxide.1","linalool","beta.caryophyllene","methyl.benzoate","beta.farnesene","alpha.humulene","alpha.terpineol","Z.E.alpha.farnesene","E.E.alpha.farnesene","TMTT","geraniol","X2phenyl.ethanol","phenylacetonitrile","caryophyllene.oxide","nitrophenylethane","methyl.farnesoate","isophytol.","jasmine.lactone","phenylacetaldoxime","farnesol","Name","site","dry.flower.weight","linalool_phenotype","log_linalool","error"
1682,"Walsenburg",7636965,0,18.7934777203964,1785.84805337557,0,0,2276.42172333064,0,0,0,0,0,0,345.99512130525,0,0,0,139.534970267708,0,0,0,0,0,0,0,4001,"Walsenburg",0.0836,"high",13.9370899339487,FALSE
1683,"Walsenburg",7592975,126.596138071758,435.923930764519,69498.9243454597,0,0,0,0,0,0,0,0,0,11889.8649145006,0,0,0,141.573161430116,0,0,0,0,0,0,0,4002,"Walsenburg",0.0793,"none",NA,NA
1684,"Walsenburg",6270627,0,25.1775049979233,3209.52099806047,0,0,10573.7839513536,238.361697901144,0,0,81.3994704345097,0,0,0,0,0,0,83.4821388091777,216.712430711225,75.2724334639228,199.109548253116,0,0,0,157.067066532929,4003,"Walsenburg",0.1018,"high",15.4727055296701,FALSE
1685,"Walsenburg",6771044,0,116.375590142275,12233.6903366341,0,0,29478.6642895124,0,0,0,0,0,0,0,0,0,0,22.7324237413478,0,0,0,0,0,0,0,4004,"Walsenburg",0.087,"high",16.4176715110618,FALSE
1686,"Walsenburg",5731332,37.6898547387272,148.237444332095,26176.242374402,0,0,23699.1725657465,0,0,0,0,0,0,4639.68478887891,0,0,0,291.042704408893,0,0,0,0,0,0,0,4005,"Walsenburg",0.0723,"high",15.8476535786716,FALSE
1687,"Walsenburg",8168741,75.5095910964648,259.401558494934,32420.894450699,96.1275696600241,0,15477.7910950191,247.866389871268,0,0,62.3622237084682,0,0,0,0,0,0,0,0,0,269.305314717857,0,0,0,320.778646663767,4006,"Walsenburg",0.0902,"high",15.9971917379263,FALSE
1690,"Walsenburg",6489335,63.2128503529095,129.193149614101,24513.5244550309,0,0,0,381.800017149017,0,0,0,0,0,12827.6366813662,0,0,0,970.097931326349,0,40.4948099851683,0,0,0,0,0,4009,"Walsenburg",0.1176,"none",NA,NA
1691,"Walsenburg",7217343,0,51.4898487219372,10269.5522588177,0,0,8427.16641763544,0,0,0,0,0,0,0,0,0,0,0,0,0,366.039073742165,0,0,0,0,4010,"Walsenburg",0.1191,"high",15.5433522911056,FALSE
1692,"Walsenburg",7259776,45.9034282266253,214.121546892509,26019.9347116197,0,0,31646.4359010752,272.765029154492,0,0,113.581559586393,0,0,12959.8263247796,0,0,0,0,96.0299282571009,0,1022.22495440269,0,0,0,514.82968857622,4011,"Walsenburg",0.0976,"high",16.673293350642,FALSE
1693,"Walsenburg",7304952,0,0,641.41557201282,0,0,1661.77665293855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4012,"Walsenburg",0.1163,"high",13.9080541871213,FALSE
1694,"Walsenburg",8560212,0,30.4111865107668,2152.09762847514,0,0,21876.0823005578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013,"Walsenburg",0.0972,"high",16.4647309256533,FALSE
1695,"Walsenburg",7552027,0,31.6678775998373,3644.60796787111,0,0,15607.2008511387,0,0,0,0,0,0,0,0,0,0,35.7705288924417,0,0,138.061388463433,0,0,0,125.059139751487,4014,"Walsenburg",0.0891,"high",15.9147490896695,FALSE
1696,"Walsenburg",6015173,212.410303504942,666.106132800192,102307.854162608,0,0,0,0,0,0,0,0,0,7265.2803009693,0,0,0,116.743486646842,0,0,0,0,0,0,0,4015,"Walsenburg",0.0811,"none",NA,NA
1697,"Walsenburg",5313758,0,20.7029929561046,3185.16238099916,0,0,11097.7648074635,0,0,0,0,0,0,918.152882051125,0,0,0,0,0,0,0,0,0,0,0,4016,"Walsenburg",0.0648,"high",14.9037899792881,FALSE
1698,"Walsenburg",7303764,0,12.7176837253839,1730.85195199819,0,0,5013.76283023892,0,0,0,0,0,0,0,0,0,0,300.829367615989,0,0,0,0,0,0,0,4017,"Walsenburg",0.1293,"high",15.1181531649635,FALSE
1699,"Walsenburg",6976759,100.316824740421,283.982734474782,58133.2154088764,0,0,0,0,52.9332509853454,0,0,0,0,4501.37541869925,0,0,0,0,0,0,0,0,0,0,0,4018,"Walsenburg",0.1065,"none",NA,NA
1700,"Walsenburg",7307776,0,16.2101004849812,1939.63421332854,0,0,5235.5534851182,0,0,0,0,0,0,0,0,0,0,48.3867591895564,0,0,0,0,0,0,0,4019,"Walsenburg",0.0969,"high",14.8735324225199,FALSE
1701,"Walsenburg",7340800,30.1339466463867,66.0196685187634,5741.56532740545,0,0,9621.92205032107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020,"Walsenburg",0.0969,"high",15.4866127398292,FALSE
1702,"Walsenburg",7273237,0,144.011090051297,12966.3490755806,0,0,20664.1879552981,45.7360390467919,0,0,0,0,0,2909.62180702446,0,0,0,0,0,0,0,0,0,0,44.4134634570942,4021,"Walsenburg",0.0875,"high",16.1396837421882,FALSE
1703,"Walsenburg",5952961,0,41.527604380799,1898.67881382602,0,0,4482.05548661043,0,0,0,0,0,0,0,0,0,0,325.106513439083,0,234.48834957931,0,0,0,0,0,4022,"Walsenburg",0.1118,"high",14.6561234090998,FALSE
1704,"Walsenburg",7057240,64.1740506014511,90.5780451950013,22370.7838613501,0,0,19219.4138700497,0,0,0,0,0,0,595.941439223535,0,0,0,568.698159655162,0,0,0,0,0,0,0,4023,"Walsenburg",0.0817,"high",15.9684702997022,FALSE
1705,"Walsenburg",6376191,36.6956830826627,82.2047041465417,10267.536705155,0,0,13258.6516406359,48.7552876499135,0,0,0,0,0,1613.40470806903,0,0,0,55.6666280278585,0,0,0,0,0,0,0,4024,"Walsenburg",0.0988,"high",15.6857601456073,FALSE
1706,"Walsenburg",7276873,0,0,0,0,0,229.517847499627,0,0,0,0,0,0,0,0,0,0,183.682591872213,0,0,0,0,0,0,0,4025,"Walsenburg",0.0844,"low",11.6039355033136,FALSE
1707,"Walsenburg",5931771,37.4169150205852,102.002420525,17931.931350206,0,0,24430.0665012186,472.251457448374,0,0,43.2344982395886,0,0,12948.1043688301,0,0,0,126.862257012763,0,41.4602148329731,185.125511901444,0,0,0,172.721423091254,4026,"Walsenburg",0.1092,"high",16.3247598404076,FALSE
1708,"Walsenburg",7054614,34.8777818042033,186.577266328385,22827.5936232621,0,0,20986.1015631306,0,0,0,0,0,0,0,0,0,0,116.163161218266,0,0,0,0,0,0,0,4027,"Walsenburg",0.1025,"high",16.282846408075,FALSE
1709,"Walsenburg",6703818,0,34.3842192870924,6966.16246378029,0,0,9065.34424466596,0,0,0,0,0,0,2864.64682962253,0,0,0,29.938698819071,0,0,0,0,0,0,0,4028,"Walsenburg",0.0602,"high",14.860249736151,FALSE
1710,"Walsenburg",7688640,0,0,103.223717068298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4029,"Walsenburg",0.0639,"none",NA,NA
1711,"Walsenburg",7975020,27.0289890108334,168.016008663522,16566.7965363391,0,0,0,0,0,0,0,0,0,1582.62077749538,0,0,0,0,0,0,0,0,0,0,348.716873953626,4030,"Walsenburg",0.0816,"none",NA,NA
1712,"Walsenburg",8443333,0,0,976.263560751609,0,0,12040.6486554027,0,0,0,247.382001916381,0,0,0,0,0,0,0,0,44.6849655150082,16.5983061857253,0,0,0,99.1371073297509,4031,"Walsenburg",0.1138,"high",16.0115493213899,FALSE
1716,"Walsenburg",8899094,426.07972729964,1838.43197754147,198915.838329855,114.02820979803,0,65799.3936724063,988.028289749671,0,0,93.7599129299788,0,0,0,0,0,0,381.79247499159,0,0,559.586794039225,0,0,0,1170.90810873874,4032,"Walsenburg",0.0883,"high",17.5087415553653,FALSE
1717,"Walsenburg",9217562,56.8865172808168,221.879711793639,25984.7104906916,146.876147944543,0,34641.0151621437,177.574070019817,0,0,0,0,0,1882.19889380728,0,0,0,0,0,0,574.469691660333,532.889824879941,0,0,796.656968512932,4033,"Walsenburg",0.0858,"high",16.8736093236327,FALSE
1718,"Walsenburg",9774357,306.887959380698,1011.20181605122,114033.997161457,204.260638794376,0,30206.700217983,2513.01611069831,0,0,268.36694225288,0,0,0,0,0,0,0,610.6538684125,0,431.537075382658,0,0,0,472.295739518217,4034,"Walsenburg",0.0865,"high",16.8034118492585,FALSE
1719,"Walsenburg",8293273,539.362235015001,1855.18740938275,206583.310195583,425.590297309534,0,202962.595525103,665.616526215571,0,0,156.194639029572,20.7831618207442,0,0,0,0,0,0,0,0,413.689242605055,472.22568480974,0,0,667.879439364788,4035,"Walsenburg",0.0897,"high",18.5803785272568,FALSE
1720,"Walsenburg",8530917,982.84274338168,3624.96483359855,382242.534831815,222.922392952371,0,167639.36478842,217.139088547013,0,162.724720414047,0,0,404.370079547496,105671.178333629,0,0,0,0,0,0,511.448272972275,0,0,0,234.874466777463,4036,"Walsenburg",0.1135,"high",18.6527560798548,FALSE
1721,"Walsenburg",8091666,131.223048124215,404.235001220344,44660.1436304008,205.739318226166,0,68672.7018790787,517.157596280116,0,0,59.2698139618638,0,97.0110671703644,11131.5458588931,0,0,0,236.911419344678,177.465926052805,73.4057257658207,1206.9875826085,463.520500836673,0,0,2069.88210034678,4037,"Walsenburg",0.1014,"high",17.5947008523474,FALSE
1722,"Walsenburg",7223908,439.955473321655,1729.08697717261,185245.031166198,0,0,119682.353756669,0,0,231.908912496645,0,158.188099719676,509.828271493735,157675.676757312,0,0,0,0,648.294648985396,0,0,0,0,0,0,4038,"Walsenburg",0.0688,"high",17.6488823571316,FALSE
1723,"Walsenburg",8691094,912.147726670839,2980.99284804537,315176.40420558,969.566494990791,0,148828.000721672,852.930812209231,0,0,36.9561162154209,0,0,0,0,0,0,0,247.029065953007,0,470.954732775902,0,0,0,1846.15646435996,4039,"Walsenburg",0.0826,"high",18.2345411356673,FALSE
